Amino Acid Length,Time Taken (seconds),Experiment
105,8.02,Experiment 2e
110,8.71,Experiment 2e
115,9.22,Experiment 2e
120,9.87,Experiment 2e
125,10.58,Experiment 2e
130,11.54,Experiment 2e
135,12.37,Experiment 2e
140,13.17,Experiment 2e
145,14.4,Experiment 2e
150,15.26,Experiment 2e
155,16.29,Experiment 2e
160,16.62,Experiment 2e
165,17.68,Experiment 2e
170,18.89,Experiment 2e
175,20.33,Experiment 2e
180,21.0,Experiment 2e
185,23.45,Experiment 2e
190,24.27,Experiment 2e
195,25.78,Experiment 2e
200,26.79,Experiment 2e
5,0.25,Experiment 3a
10,0.17,Experiment 3a
15,0.29,Experiment 3a
20,0.4,Experiment 3a
25,0.59,Experiment 3a
30,0.81,Experiment 3a
35,1.12,Experiment 3a
40,1.74,Experiment 3a
45,1.85,Experiment 3a
50,2.43,Experiment 3a
55,2.14,Experiment 3a
60,2.71,Experiment 3a
65,2.87,Experiment 3a
70,3.37,Experiment 3a
75,3.76,Experiment 3a
80,5.13,Experiment 3a
85,6.27,Experiment 3a
90,6.47,Experiment 3a
95,11.51,Experiment 3a
100,9.61,Experiment 3a
5,0.09,Experiment 3b
10,0.16,Experiment 3b
15,0.25,Experiment 3b
20,0.39,Experiment 3b
25,0.52,Experiment 3b
30,0.67,Experiment 3b
35,0.92,Experiment 3b
40,1.13,Experiment 3b
45,1.62,Experiment 3b
50,1.82,Experiment 3b
55,2.06,Experiment 3b
60,2.36,Experiment 3b
65,3.05,Experiment 3b
70,3.25,Experiment 3b
75,4.72,Experiment 3b
80,4.35,Experiment 3b
85,5.41,Experiment 3b
90,10.47,Experiment 3b
95,7.06,Experiment 3b
100,12.97,Experiment 3b
5,0.1,Experiment 3c
10,0.17,Experiment 3c
15,0.25,Experiment 3c
20,0.38,Experiment 3c
25,0.77,Experiment 3c
30,0.77,Experiment 3c
35,0.97,Experiment 3c
40,1.21,Experiment 3c
45,1.45,Experiment 3c
50,1.8,Experiment 3c
55,2.14,Experiment 3c
60,2.75,Experiment 3c
65,2.79,Experiment 3c
70,3.22,Experiment 3c
75,3.64,Experiment 3c
80,4.22,Experiment 3c
85,4.82,Experiment 3c
90,9.68,Experiment 3c
95,20.37,Experiment 3c
100,33.56,Experiment 3c
5,0.09,Experiment 3d
10,0.15,Experiment 3d
15,0.25,Experiment 3d
20,0.39,Experiment 3d
25,0.55,Experiment 3d
30,0.71,Experiment 3d
35,0.89,Experiment 3d
40,1.42,Experiment 3d
45,1.39,Experiment 3d
50,1.7,Experiment 3d
55,2.01,Experiment 3d
60,2.36,Experiment 3d
65,2.74,Experiment 3d
70,3.53,Experiment 3d
75,3.88,Experiment 3d
80,4.49,Experiment 3d
85,7.75,Experiment 3d
90,16.72,Experiment 3d
95,20.96,Experiment 3d
100,9.23,Experiment 3d
5,0.08,Experiment 3e
10,0.15,Experiment 3e
15,0.26,Experiment 3e
20,0.38,Experiment 3e
25,0.51,Experiment 3e
30,0.69,Experiment 3e
35,0.85,Experiment 3e
40,1.1,Experiment 3e
45,1.39,Experiment 3e
50,1.69,Experiment 3e
55,1.98,Experiment 3e
60,2.71,Experiment 3e
65,2.77,Experiment 3e
70,3.31,Experiment 3e
75,4.95,Experiment 3e
80,5.07,Experiment 3e
85,4.62,Experiment 3e
90,6.17,Experiment 3e
95,7.04,Experiment 3e
100,7.03,Experiment 3e
